challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
104_49	very_hard	104	aer_mps_selected	mps	tree_tensor_sim_session	challenge-104_49.mps	sample_top	1	11100011111110111011110101100011001001100100110010100000001110100001010111101110100010000011010100110101	sample_fraction	0.0009765625	1		0.0009765625	0			ok	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	quantum_peak_session	challenge-104_49.mps	sample_top	1	11100011111110111011110101100011001001100100110010100000001110100001010111101110100010000011010100110101	sample_fraction	0.0009765625	1		0.0009765625	0			ok	outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	tree_tensor_sim_session	challenge-104_49.mps	sample_top	2	00010101011010111011111101110101101000101101000000001001001110010001011010110110000000111001010010001000	sample_fraction	0.0009765625	1		0.0009765625	0			ok	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	quantum_peak_session	challenge-104_49.mps	sample_top	2	00010101011010111011111101110101101000101101000000001001001110010001011010110110000000111001010010001000	sample_fraction	0.0009765625	1		0.0009765625	0			ok	outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	tree_tensor_sim_session	challenge-104_49.mps	sample_top	3	10110101000110011011110111111100111001101101010010000101101010110001011001100001011110001110110000011101	sample_fraction	0.0009765625	1		0.0009765625	0			ok	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	quantum_peak_session	challenge-104_49.mps	sample_top	3	10110101000110011011110111111100111001101101010010000101101010110001011001100001011110001110110000011101	sample_fraction	0.0009765625	1		0.0009765625	0			ok	outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	tree_tensor_sim_session	challenge-104_49.mps	sample_top	4	10010110101001101010010110100101110011011001000011001000001110100100010000100100000000101000011001100100	sample_fraction	0.0009765625	1		0.0009765625	0			ok	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	quantum_peak_session	challenge-104_49.mps	sample_top	4	10010110101001101010010110100101110011011001000011001000001110100100010000100100000000101000011001100100	sample_fraction	0.0009765625	1		0.0009765625	0			ok	outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	tree_tensor_sim_session	challenge-104_49.mps	sample_top	5	11110101001010111011010110100101011001000001100011001010101000000101011100111011110000110000000000011000	sample_fraction	0.0009765625	1		0.0009765625	0			ok	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	quantum_peak_session	challenge-104_49.mps	sample_top	5	11110101001010111011010110100101011001000001100011001010101000000101011100111011110000110000000000011000	sample_fraction	0.0009765625	1		0.0009765625	0			ok	outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	tree_tensor_sim_session	challenge-104_49.mps	sample_top	6	00110000001110110111111110110000100001100101111101110010001010110101011000100000001100000000000000100101	sample_fraction	0.0009765625	1		0.0009765625	0			ok	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	quantum_peak_session	challenge-104_49.mps	sample_top	6	00110000001110110111111110110000100001100101111101110010001010110101011000100000001100000000000000100101	sample_fraction	0.0009765625	1		0.0009765625	0			ok	outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	tree_tensor_sim_session	challenge-104_49.mps	sample_top	7	00001100010111110011010011100100010001100001100000001011001001001000011100011011011100110110010101100101	sample_fraction	0.0009765625	1		0.0009765625	0			ok	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	quantum_peak_session	challenge-104_49.mps	sample_top	7	00001100010111110011010011100100010001100001100000001011001001001000011100011011011100110110010101100101	sample_fraction	0.0009765625	1		0.0009765625	0			ok	outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
104_49	very_hard	104	aer_mps_selected	mps	tree_tensor_sim_session	challenge-104_49.mps	sample_top	8	11110101101100110111111011000001110010001101110100101001001101110001011100110010001000101001011010100101	sample_fraction	0.0009765625	1		0.0009765625	0			ok	../quantum-junction-tree-tensor/outputs/sim_11_26_34_41_49/json/challenge-104_49.mps.json	-
